tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
21488 >8 - 12,21488 >8 - 12-1,21488 >8 - 12-1,21488 >8 - 12-1,yes,10.1,Female,1,1,,,21488 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,1/6/17,21488,Vav-cre; Brca1f/f,10/27/16,1.52,0.56,0.89,0.07,,6.07,12,39.2,64.5,19.8,30.6,22.7,533,5.6,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21488
21471 >8 - 12,21471 >8 - 12-1,21471 >8 - 12-1,21471 >8 - 12-1,yes,11.1,Female,1,1,,,21471 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/6/17,21471,Vav-cre; Brca1f/f; Cbpf/+,10/20/16,8.56,1.54,6.71,0.29,,9,14.7,47.3,52.6,16.3,31.1,18,747,4.4,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21471
21470 >8 - 12,21470 >8 - 12-1,21470 >8 - 12-1,21470 >8 - 12-1,yes,11.1,Female,1,1,,,21470 >8 - 12-1,WT (pure) >8 - 12,1/6/17,21470,WT,10/20/16,8.46,2.18,5.93,0.33,,9.44,14.9,49.9,52.9,15.8,29.9,20.5,710,4.4,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21470
21487 >8 - 12,21487 >8 - 12-1,21487 >8 - 12-1,21487 >8 - 12-1,yes,10.1,Female,1,1,,,21487 >8 - 12-1,Vav-cre; Brca1f/+; Cbpf/+ >8 - 12,1/6/17,21487,Vav-cre; Brca1f/+; Cbpf/+,10/27/16,12.62,2.71,9.4,0.47,,8.15,13.1,43.8,53.7,16.1,29.9,21.3,624,4.4,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21487
21492 >8 - 12,21492 >8 - 12-1,21492 >8 - 12-1,21492 >8 - 12-1,yes,10.1,Female,1,1,,,21492 >8 - 12-1,Vav-cre; Brca1f/+; Cbpf/+ >8 - 12,1/6/17,21492,Vav-cre; Brca1f/+; Cbpf/+,10/27/16,7.46,1.61,5.12,0.47,,9.83,15.4,51.6,52.5,15.7,29.8,19.1,711,5.3,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21492
21497 >8 - 12,21497 >8 - 12-1,21497 >8 - 12-1,21497 >8 - 12-1,yes,11.1,Male,1,1,,,21497 >8 - 12-1,Vav-cre; Cbpf/f (mixed) >8 - 12,1/6/17,21497,Vav-cre; Cbpf/f,10/20/16,9.08,3.77,3.84,1.15,,6.65,7.2,30.7,46.2,10.8,23.5,39.3,1333,7.4,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21497
21598 >8 - 12,21598 >8 - 12-1,,21598 >8 - 12-1,yes,8.4,Female,1,3,,,21598 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/6/17,21598,Vav-cre; Brca1f/f; Cbpf/+,11/8/16,1.24,0.36,0.74,0.08,,5.7,10.8,35.8,62.8,18.9,30.2,20.1,236,6.3,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21598
21546 >8 - 12,21546 >8 - 12-1,21546 >8 - 12-1,21546 >8 - 12-1,yes,9.4,Female,1,1,,,21546 >8 - 12-1,Vav-cre; Brca1f/+; Cbpf/f >8 - 12,1/6/17,21546,Vav-cre; Brca1f/+; Cbpf/f,11/1/16,11.74,5.04,5.4,1.22,,9.14,12.8,40.3,44.1,14,31.8,25.5,1199,6.2,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21546
21550 >8 - 12,21550 >8 - 12-1,21550 >8 - 12-1,21550 >8 - 12-1,yes,9.4,Male,1,1,46,1,21550 >8 - 12-1,WT (mixed) >8 - 12,1/6/17,21550,Cbpf/+,11/1/16,13.76,2.26,11.12,0.34,,10.12,16.2,53.1,52.5,16,30.5,19.1,1027,4.7,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21550
21551 >8 - 12,21551 >8 - 12-1,21551 >8 - 12-1,21551 >8 - 12-1,yes,9.4,Male,1,1,,,21551 >8 - 12-1,WT (pure) >8 - 12,1/6/17,21551,WT,11/1/16,17.38,3.98,12.69,0.62,,10.43,15.6,50.8,48.7,15,30.7,20,1169,4.7,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21551
21552 >8 - 12,21552 >8 - 12-1,21552 >8 - 12-1,21552 >8 - 12-1,yes,9.4,Male,1,1,,,21552 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/6/17,21552,Vav-cre; Brca1f/f; Cbpf/+,11/1/16,0.72,0.08,0.57,0.06,,1.9,3.7,13.2,69.7,19.5,28,33.6,147,7.3,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21552
21606 >8 - 12,21606 >8 - 12-1,21606 >8 - 12-1,21606 >8 - 12-1,yes,8.4,Male,1,1,,,21606 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,1/6/17,21606,Vav-cre; Brca1f/f; Cbpf/+,11/8/16,1.06,0.26,0.65,0.11,,6.23,11.3,37.1,59.5,18.1,30.5,21.4,233,6.8,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21606
21656 >8 - 12,21656 >8 - 12-1,21656 >8 - 12-1,21656 >8 - 12-1,yes,8.1,Male,1,1,,,21656 >8 - 12-1,Vav-cre; Cbpf/f (mixed) >8 - 12,1/6/17,21656,Vav-cre; Cbpf/f,11/10/16,18.16,3.28,13.33,1.24,,8.97,10.4,37.3,41.6,11.6,27.9,32.4,1059,7.7,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21656
21730 -4-8,21730 -4-8-1,21730 -4-8-1,21730 -4-8-1,yes,6.1,Female,1,1,,,21730 -4-8-1,Vav-cre; Brca1f/+; Cbpf/f -4-8,1/6/17,21730,Vav-cre; Brca1f/+; Cbpf/f,11/24/16,6.34,3.47,1.54,1.23,,9.06,12.9,39.5,43.6,14.2,32.7,24.8,1186,6.2,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21730
21731 -4-8,21731 -4-8-1,21731 -4-8-1,21731 -4-8-1,yes,6.1,Male,1,1,,,21731 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,1/6/17,21731,Vav-cre; Cbpf/f,11/24/16,15.3,4.72,7.67,2.74,,6.88,9.4,29.5,42.9,13.7,31.9,26.7,940,6.6,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21731
21733 -4-8,21733 -4-8-1,21733 -4-8-1,21733 -4-8-1,yes,6.1,Female,1,1,47,1,21733 -4-8-1,WT (mixed) -4-8,1/6/17,21733,Cbpf/f,11/24/16,9.28,1.25,7.81,0.2,,9.84,14.4,45.1,45.8,14.6,31.9,19.3,863,4.5,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21733
21734 -4-8,21734 -4-8-1,21734 -4-8-1,21734 -4-8-1,yes,6.1,Male,1,1,,,21734 -4-8-1,WT (pure) -4-8,1/6/17,21734,Brca1f/f,11/24/16,6.98,0.97,5.8,0.22,,9.82,16.1,46.9,47.8,16.4,34.3,18.1,1105,4.4,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21734
21735 -4-8,21735 -4-8-1,21735 -4-8-1,21735 -4-8-1,yes,6.1,Male,1,1,,,21735 -4-8-1,Vav-cre; Cbpf/+ -4-8,1/6/17,21735,Vav-cre; Cbpf/+,11/24/16,6.22,1.07,4.85,0.17,,7.64,12,35.5,46.5,15.7,33.8,18.1,725,5.3,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21735
21737 -4-8,21737 -4-8-1,21737 -4-8-1,21737 -4-8-1,yes,5.4,Female,1,1,,,21737 -4-8-1,Vav-cre; Brca1f/f; Cbpf/+ -4-8,1/6/17,21737,Vav-cre; Brca1f/f; Cbpf/+,11/29/16,1.22,0.18,0.91,0.13,,6.12,11.6,38,62.1,19,30.5,22.1,462,5.9,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,#N/A,#N/A,,Vav-cre; Brca1; Cbp colony monthly baseline bleeds,42741,,21737
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,60.2,,,,,,,Vav-cre; Brca1f/f (pure),1/13/17,18638,Vav-cre; Brca1f/f,11/18/15,5.82,1.2,4.33,0.23,,8.18,12.5,35.5,43.4,15.3,35.2,18,477,5.4,VRM and VRR oldest mating cage,#N/A,#N/A,170,VRM and VRR oldest mating cage,42748,,
,,,,,65,,,,,,,Vav-cre; Brca15382insC/+,1/13/17,18371,Vav-cre; Brca15382insC/+,10/16/15,13.62,6.04,7.29,0.21,,8.95,13.5,39.6,44.3,15.1,34.1,18.9,1613,4.7,VRM and VRR oldest mating cage,#N/A,#N/A,,VRM and VRR oldest mating cage,42748,,
21182 >12 - 24,21182 >12 - 24-1,,21182 >12 - 24-1,yes,17.7,Female,1,4,,,21182 >12 - 24-1,vav-cre >12 - 24,1/13/17,21182,Vav-cre,9/11/16,12.56,3.8,8.09,0.61,,10.26,15.6,53.2,51.9,15.2,29.3,18.4,1211,4.7,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,171,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,21182
21232 >12 - 24,21232 >12 - 24-1,,21232 >12 - 24-1,yes,17.4,Female,1,4,,,21232 >12 - 24-1,vav-cre >12 - 24,1/13/17,21232,Vav-cre,9/13/16,8.96,4.06,4.66,0.16,,9.85,15.4,49,49.7,15.6,31.4,20.2,1040,5.2,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,21232
21378 >12 - 24,21378 >12 - 24-1,,21378 >12 - 24-1,yes,13.8,Female,1,4,,,21378 >12 - 24-1,vav-cre >12 - 24,1/13/17,21378,Vav-cre,10/8/16,10.3,1.42,8.68,0.15,,9.73,15.3,48.3,49.6,15.7,31.7,19.4,798,4.7,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21382 >12 - 24,21382 >12 - 24-1,,21382 >12 - 24-1,yes,14,Female,1,4,,,21382 >12 - 24-1,Vav-cre; Brca1f/f (pure) >12 - 24,1/13/17,21382,Vav-cre; Brca1f/f,10/7/16,0.48,0.07,0.35,0.06,,3.91,7,23.6,60.4,17.9,29.7,24.5,424,6.6,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21385 >12 - 24,21385 >12 - 24-1,,21385 >12 - 24-1,yes,14,Female,1,4,,,21385 >12 - 24-1,WT (pure) >12 - 24,1/13/17,21385,Brca1f/f,10/7/16,11.2,2.65,7.93,0.58,,9.58,15.1,45.9,47.9,15.8,32.9,20.6,1159,4.8,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21574 >8 - 12,21574 >8 - 12-1,21574 >8 - 12-1,21574 >8 - 12-1,yes,10.1,Male,1,1,,,21574 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,1/13/17,21574,Vav-cre; Brca1f/f,11/3/16,0.54,0.07,0.41,0.05,,3.67,6.9,24.5,66.8,18.8,28.2,31.2,453,7.1,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21610 >8 - 12,21610 >8 - 12-1,,21610 >8 - 12-1,yes,9.4,Female,1,2,,,21610 >8 - 12-1,WT (pure) >8 - 12,1/13/17,21610,Brca1f/f,11/8/16,9.96,1.74,7.56,0.62,,10.02,16,48.5,48.4,16,33,17.8,1024,4.6,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21612 >8 - 12,21612 >8 - 12-1,,21612 >8 - 12-1,yes,9.4,Male,1,2,,,21612 >8 - 12-1,vav-cre >8 - 12,1/13/17,21612,Vav-cre,11/8/16,11.36,2.8,7.82,0.66,,10.3,16.2,51.1,49.6,15.7,31.7,16.9,1257,5.3,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21613 >8 - 12,21613 >8 - 12-1,,21613 >8 - 12-1,yes,9.4,Male,1,2,,,21613 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,1/13/17,21613,Vav-cre; Brca1f/f,11/8/16,2.54,1.08,1.2,0.12,,6.93,13,42,60.6,18.8,31,20,619,5.9,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
21614 >8 - 12,21614 >8 - 12-1,,21614 >8 - 12-1,yes,9.4,Male,1,2,,,21614 >8 - 12-1,Vav-cre; Brca1f/f (pure) >8 - 12,1/13/17,21614,Vav-cre; Brca1f/f,11/8/16,1.7,0.55,0.92,0.13,,5.19,10.1,32.5,62.6,19.5,31.1,21.8,552,6,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",#N/A,#N/A,,"PARP-i cohort, 1st biweekly bleed - 14 days post TX",42748,,
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,46.8,,,,,,,WT (pure),1/18/17,19503,WT,2/25/16,5.02,0.77,3.89,0.36,,11.22,16,51.9,46.3,14.3,30.8,22.5,2185,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,172,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,39.7,,,,,,,vav-cre; brca1f/+ (pure),1/18/17,19868,Vav-cre; Brca1f/+,4/15/16,7.44,1.43,5.9,0.09,,9.53,14.6,43.7,45.9,15.3,33.4,19.1,1528,5.1,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,45.4,,,,,,,vav-cre; brca1f/+ (pure),1/18/17,19634,Vav-cre; Brca1f/+,3/6/16,4.1,1.59,2.33,0.16,,8.84,13.3,38.4,43.4,15,34.6,19.2,2410,4.9,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,25.1,,,,,,,vav-cre; brca1f/+ (pure),1/18/17,20837,Vav-cre; Brca1f/+,7/26/16,6.04,1.6,4.17,0.23,,8.81,13.5,41.9,47.6,15.3,32.2,22.2,2036,4.9,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21184 >12 - 24,21184 >12 - 24-4,,,yes,18.4,Female,4,6,,,,vav-cre; brca1f/+ (pure) >12 - 24,1/18/17,21184,Vav-cre; Brca1f/+,9/11/16,5.08,1.01,3.94,0.13,,8.79,14,44,50,15.9,31.8,18.1,1039,4.5,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21339 >12 - 24,21339 >12 - 24-3,,,yes,16.2,Male,3,5,,,,vav-cre; brca1f/+ (pure) >12 - 24,1/18/17,21339,Vav-cre; Brca1f/+,9/26/16,8.78,1.13,7.42,0.23,,9.88,15.1,46.6,47.2,15.3,32.4,19.1,1106,4.2,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21352 >12 - 24,21352 >12 - 24-2,,,yes,15.5,Male,2,4,,,,Brca15382insC/+ >12 - 24,1/18/17,21352,Brca15382insC/+,10/1/16,7.36,2.04,5.12,0.14,,8.38,13.4,39.1,46.7,16,34.3,19.4,1203,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21351 >12 - 24,21351 >12 - 24-2,,,yes,15.5,Male,2,4,,,,WT (pure) >12 - 24,1/18/17,21351,WT,10/1/16,8.74,2.52,6.04,0.17,,8.7,12.8,39.2,45.1,14.7,32.7,17.8,1416,5.1,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,46.8,,,,,,,Brca15382insC/+,1/18/17,19583,Brca15382insC/+,2/25/16,6.24,2.08,3.99,0.13,,9.12,14.1,41.2,45.2,15.5,34.2,19.8,1837,4.9,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21104 >12 - 24,21104 >12 - 24-5,,,yes,20.7,Female,5,6,,,,Brca15382insC/+ >12 - 24,1/18/17,21104,Brca15382insC/+,8/26/16,7.94,2.06,5.54,0.33,,9.61,14.5,47.5,49.4,15.1,30.5,19.9,1227,4.6,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
21103 >12 - 24,21103 >12 - 24-5,,,yes,20.7,Female,5,6,,,,WT (pure) >12 - 24,1/18/17,21103,WT,8/26/16,9.82,1.93,7.49,0.39,,9.37,15,46.9,50.1,16,32,19.6,925,4.6,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,35.5,,,,,,,vav-cre; brca1f/+ (pure),1/18/17,20118,Vav-cre; Brca1f/+,5/14/16,6.1,1.41,4.44,0.22,,8.59,13,39.1,45.5,15.1,33.2,22.2,928,5.9,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,35.5,,,,,,,vav-cre; brca1f/+ (pure),1/18/17,20120,Vav-cre; Brca1f/+,5/14/16,5.2,2.56,2.5,0.11,,8.87,13.6,39.5,44.5,15.3,34.4,21.1,1664,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,27.5,,,,,,,WT (pure),1/18/17,20718,WT,7/9/16,10.18,2.63,7.22,0.25,,8.86,13.8,45.2,51,15.6,30.5,19.3,1261,5,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,27.5,,,,,,,Brca15382insC/+,1/18/17,20719,Brca15382insC/+,7/9/16,9.34,1.61,7.4,0.33,,10.16,15.3,47.4,46.7,15.1,32.3,19.6,1702,4.6,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,34.4,,,,,,,WT (pure),1/18/17,20226,WT,5/22/16,8.18,2.09,5.85,0.23,,9.47,13.5,41.3,43.6,14.3,32.7,20.5,2022,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,34.4,,,,,,,Brca15382insC/+,1/18/17,20225,Brca15382insC/+,5/22/16,7.22,2.26,4.69,0.24,,9.09,13.5,40.1,44.1,14.9,33.7,20.7,2585,4.9,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,34.4,,,,,,,Brca15382insC/+,1/18/17,20222,Brca15382insC/+,5/22/16,10.6,2.01,8.04,0.52,,9.72,13.9,47.8,49.2,14.3,29.1,19,1152,4.4,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
,,,,,34.4,,,,,,,WT (pure),1/18/17,20224,WT,5/22/16,10.46,1.98,8.24,0.24,,9.38,14.3,47.8,51,15.2,29.9,18.8,1148,4.7,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,#N/A,#N/A,,Brca15382insC/+ + WT + Vav-cre; Brca1f/+ - Chemo Tx Experiment - CY Tx - Biweekly Bleeds - 6th bleed - Day 72 post-1st Tx or Day 44 post-2nd Tx,42753,,
